################################################################################
#                                                                               #
#                                                                               #
#                                                                               #
#                         Fuel_Temp ; TAPS-3&4                                  #
#                    Alok Jha ; alokjha@npcil.co.in                             #
#                  NUCLEAR POWER CORPORATION OF INDIA                           #
#                                                                               #
#                                                                               #
#                                                                               #
################################################################################

 #Calculation of Temperature by Iteration: 
################################################################################
#Radius 		 #Temperature 
 0.01 		 870 
 0.61		313.196
0.6101		313.233
0.6102		313.269
0.6103		313.306
0.6104		313.342
0.6105		313.379
0.6106		313.415
0.6107		313.452
0.6108		313.488
0.6109		313.525
0.611		313.561
0.6111		313.598
0.6112		313.634
0.6113		313.67
0.6114		313.707
0.6115		313.743
0.6116		313.78
0.6117		313.816
0.6118		313.852
0.6119		313.889
0.612		313.925
0.6121		313.961
0.6122		313.998
0.6123		314.034
0.6124		314.07
0.6125		314.106
0.6125		300.057
0.6126		300.06
0.6127		300.062
0.6128		300.064
0.6129		300.067
0.613		300.069
0.6131		300.071
0.6132		300.073
0.6133		300.076
0.6134		300.078
0.6135		300.08
0.6136		300.083
0.6137		300.085
0.6138		300.087
0.6139		300.089
0.614		300.092
0.6141		300.094
0.6142		300.096
0.6143		300.099
0.6144		300.101
0.6145		300.103
0.6146		300.105
0.6147		300.108
0.6148		300.11
0.6149		300.112
0.615		300.115
0.6151		300.117
0.6152		300.119
0.6153		300.121
0.6154		300.124
0.6155		300.126
0.6156		300.128
0.6157		300.13
0.6158		300.133
0.6159		300.135
0.616		300.137
0.6161		300.139
0.6162		300.142
0.6163		300.144
0.6164		300.146
0.6165		300.149
0.6166		300.151
0.6167		300.153
0.6168		300.155
0.6169		300.158
0.617		300.16
0.6171		300.162
0.6172		300.164
0.6173		300.167
0.6174		300.169
0.6175		300.171
0.6176		300.173
0.6177		300.176
0.6178		300.178
0.6179		300.18
0.618		300.182
0.6181		300.185
0.6182		300.187
0.6183		300.189
0.6184		300.191
0.6185		300.194
0.6186		300.196
0.6187		300.198
0.6188		300.2
0.6189		300.203
0.619		300.205
0.6191		300.207
0.6192		300.209
0.6193		300.212
0.6194		300.214
0.6195		300.216
0.6196		300.218
0.6197		300.221
0.6198		300.223
0.6199		300.225
0.62		300.227
0.6201		300.23
0.6202		300.232
0.6203		300.234
0.6204		300.236
0.6205		300.239
0.6206		300.241
0.6207		300.243
0.6208		300.245
0.6209		300.247
0.621		300.25
0.6211		300.252
0.6212		300.254
0.6213		300.256
0.6214		300.259
0.6215		300.261
0.6216		300.263
0.6217		300.265
0.6218		300.268
0.6219		300.27
0.622		300.272
0.6221		300.274
0.6222		300.276
0.6223		300.279
0.6224		300.281
0.6225		300.283
0.6226		300.285
0.6227		300.288
0.6228		300.29
0.6229		300.292
0.623		300.294
0.6231		300.296
0.6232		300.299
0.6233		300.301
0.6234		300.303
0.6235		300.305
0.6236		300.307
0.6237		300.31
0.6238		300.312
0.6239		300.314
0.624		300.316
0.6241		300.319
0.6242		300.321
0.6243		300.323
0.6244		300.325
0.6245		300.327
0.6246		300.33
0.6247		300.332
0.6248		300.334
0.6249		300.336
0.625		300.338
0.6251		300.341
