################################################################################
#                                                                               #
#                                                                               #
#                                                                               #
#                         Fuel_Temp ; TAPS-3&4                                  #
#                    Alok Jha ; alokjha@npcil.co.in                             #
#                  NUCLEAR POWER CORPORATION OF INDIA                           #
#                                                                               #
#                                                                               #
#                                                                               #
################################################################################

 #Calculation of Temperature by Rozon Correlation: 
################################################################################
#Radius 		 #Temperature
0.01 		 1142.54 
 0.61 		 748.52 
 0.61 		 525.448 
 0.6101 		 525.484 
 0.6102 		 525.521 
 0.6103 		 525.557 
 0.6104 		 525.594 
 0.6105 		 525.63 
 0.6106 		 525.667 
 0.6107 		 525.703 
 0.6108 		 525.74 
 0.6109 		 525.776 
 0.611 		 525.813 
 0.6111 		 525.849 
 0.6112 		 525.885 
 0.6113 		 525.922 
 0.6114 		 525.958 
 0.6115 		 525.995 
 0.6116 		 526.031 
 0.6117 		 526.068 
 0.6118 		 526.104 
 0.6119 		 526.14 
 0.612 		 526.177 
 0.6121 		 526.213 
 0.6122 		 526.249 
 0.6123 		 526.286 
 0.6124 		 526.322 
 0.6125 		 526.358 
 0.6125 		 514.667 
 0.6126 		 514.669 
 0.6127 		 514.67 
 0.6128 		 514.672 
 0.6129 		 514.674 
 0.613 		 514.676 
 0.6131 		 514.678 
 0.6132 		 514.68 
 0.6133 		 514.682 
 0.6134 		 514.684 
 0.6135 		 514.686 
 0.6136 		 514.688 
 0.6137 		 514.69 
 0.6138 		 514.691 
 0.6139 		 514.693 
 0.614 		 514.695 
 0.6141 		 514.697 
 0.6142 		 514.699 
 0.6143 		 514.701 
 0.6144 		 514.703 
 0.6145 		 514.705 
 0.6146 		 514.707 
 0.6147 		 514.709 
 0.6148 		 514.71 
 0.6149 		 514.712 
 0.615 		 514.714 
 0.6151 		 514.716 
 0.6152 		 514.718 
 0.6153 		 514.72 
 0.6154 		 514.722 
 0.6155 		 514.724 
 0.6156 		 514.726 
 0.6157 		 514.727 
 0.6158 		 514.729 
 0.6159 		 514.731 
 0.616 		 514.733 
 0.6161 		 514.735 
 0.6162 		 514.737 
 0.6163 		 514.739 
 0.6164 		 514.741 
 0.6165 		 514.743 
 0.6166 		 514.744 
 0.6167 		 514.746 
 0.6168 		 514.748 
 0.6169 		 514.75 
 0.617 		 514.752 
 0.6171 		 514.754 
 0.6172 		 514.756 
 0.6173 		 514.758 
 0.6174 		 514.759 
 0.6175 		 514.761 
 0.6176 		 514.763 
 0.6177 		 514.765 
 0.6178 		 514.767 
 0.6179 		 514.769 
 0.618 		 514.771 
 0.6181 		 514.773 
 0.6182 		 514.774 
 0.6183 		 514.776 
 0.6184 		 514.778 
 0.6185 		 514.78 
 0.6186 		 514.782 
 0.6187 		 514.784 
 0.6188 		 514.786 
 0.6189 		 514.788 
 0.619 		 514.789 
 0.6191 		 514.791 
 0.6192 		 514.793 
 0.6193 		 514.795 
 0.6194 		 514.797 
 0.6195 		 514.799 
 0.6196 		 514.801 
 0.6197 		 514.803 
 0.6198 		 514.804 
 0.6199 		 514.806 
